Date,Stock,Sector,Open,High,Low,Close,Volume,Daily_Return,PnL
2024-01-01,AXISBANK.NS,Banking,1093.221182919986,1102.2065625056298,1091.2244319009542,1095.916748046875,4083732.0,,
2024-01-02,AXISBANK.NS,Banking,1093.3210915732434,1097.564187859224,1080.5419570586787,1091.47412109375,7895577.0,-0.004053799671409841,-4.442626953124964
2024-01-03,AXISBANK.NS,Banking,1089.2277993642251,1100.8089321599628,1079.543604617313,1096.8154296875,10225290.0,0.004893664898254713,5.341308593749898
2024-01-04,AXISBANK.NS,Banking,1101.2083083004443,1128.164450026747,1098.2631489717503,1121.5751953125,11411683.0,0.02257423168459116,24.759765625000032
2024-01-05,AXISBANK.NS,Banking,1122.174233462395,1138.0484307122915,1117.182355199662,1135.1031494140625,8025466.0,0.012061566766188303,13.527954101562406
2024-01-08,AXISBANK.NS,Banking,1143.1400058358747,1144.138381386823,1116.6830537357432,1120.1773681640625,4735538.0,-0.013149273048625232,-14.925781249999952
2024-01-09,AXISBANK.NS,Banking,1126.7168353593506,1133.7054645793887,1110.543077469764,1114.736328125,6359362.0,-0.004857302239537509,-5.441040039062533
2024-01-10,AXISBANK.NS,Banking,1113.4383808745924,1114.187162569868,1097.264745005451,1105.2017822265625,5934163.0,-0.00855318487240364,-9.534545898437532
2024-01-11,AXISBANK.NS,Banking,1109.2451929528,1126.0677964347826,1109.2451929528,1123.9212646484375,4683035.0,0.016937615124147154,18.719482421875014
2024-01-12,AXISBANK.NS,Banking,1124.520282630233,1127.6152224780649,1116.233838642297,1118.530029296875,5616755.0,-0.004796808745538672,-5.39123535156251
2024-01-15,AXISBANK.NS,Banking,1120.1774576314062,1128.613682961906,1114.7862048512886,1117.6815185546875,6719079.0,-0.0007585945124074511,-0.848510742187555
2024-01-16,AXISBANK.NS,Banking,1114.8361330321468,1125.9680452958034,1113.288602110393,1117.2821044921875,5229753.0,-0.0003573594587270579,-0.3994140624999392
2024-01-17,AXISBANK.NS,Banking,1080.2424307499423,1113.1888265121863,1077.4469302394873,1080.5419921875,24913719.0,-0.03288346976736567,-36.740112304687536
2024-01-18,AXISBANK.NS,Banking,1064.2684519148634,1106.949011313888,1064.2684519148634,1095.71728515625,11473135.0,0.014044149212589563,15.175292968750036
2024-01-19,AXISBANK.NS,Banking,1105.3515730836875,1124.47049025291,1103.2050411631287,1114.736328125,12303696.0,0.01735761881865172,19.0190429687501
2024-01-23,AXISBANK.NS,Banking,1124.0712060531346,1139.7456555300578,1077.0477357503332,1087.480712890625,18924087.0,-0.024450279897327176,-27.255615234375
2024-01-24,AXISBANK.NS,Banking,1033.1191433850806,1071.4566698090237,1019.2416978515686,1057.4295654296875,20884046.0,-0.027633729136270158,-30.051147460937507
2024-01-25,AXISBANK.NS,Banking,1056.2812991912028,1061.9719909011787,1024.1336562254926,1040.556884765625,20835434.0,-0.01595631635021122,-16.872680664062468
2024-01-29,AXISBANK.NS,Banking,1034.317019563457,1066.265035611749,1034.317019563457,1059.5260009765625,11188604.0,0.018229773392167914,18.969116210937525
2024-01-30,AXISBANK.NS,Banking,1058.3281032541713,1068.7111119938595,1049.093128956568,1052.3876953125,9426983.0,-0.006737263321035192,-7.138305664062491
2024-01-31,AXISBANK.NS,Banking,1046.4972120059565,1082.3389189419856,1041.0061464324483,1066.0155029296875,12600390.0,0.012949417479782399,13.627807617187601
2024-02-01,AXISBANK.NS,Banking,1070.907636675715,1085.8832710247752,1055.0834074212792,1082.48876953125,9756682.0,0.015453121044008977,16.473266601562568
2024-02-02,AXISBANK.NS,Banking,1086.2826608428827,1094.419324788731,1063.2700536557943,1065.3167724609375,8667415.0,-0.015863441315653093,-17.17199707031251
2024-02-05,AXISBANK.NS,Banking,1065.3167904650495,1077.7465186098864,1056.2814420465584,1059.7757568359375,12569454.0,-0.005201284508268844,-5.541015625000039
2024-02-06,AXISBANK.NS,Banking,1059.8256798919954,1063.3698401921326,1046.4972679713526,1048.3443603515625,8011171.0,-0.010786618216767407,-11.43139648437499
2024-02-07,AXISBANK.NS,Banking,1059.3265523083303,1071.9559070231635,1055.7822699346784,1067.3634033203125,7281793.0,0.018141980524769563,19.019042968750053
2024-02-08,AXISBANK.NS,Banking,1070.2586191313246,1073.8527468360933,1029.9741889516715,1034.21728515625,9869141.0,-0.031054201465923303,-33.146118164062536
2024-02-09,AXISBANK.NS,Banking,1038.2606648365577,1053.1864533000291,1032.869534050738,1049.692138671875,8233454.0,0.014962864900567752,15.474853515624922
2024-02-12,AXISBANK.NS,Banking,1049.692071971914,1055.5325445334493,1033.6680957322008,1044.9996337890625,8694379.0,-0.004470362985427023,-4.6925048828124805
2024-02-13,AXISBANK.NS,Banking,1049.2927030055232,1073.8028715057906,1043.1028233445918,1069.0106201171875,8413609.0,0.022977028461783844,24.010986328124982
2024-02-14,AXISBANK.NS,Banking,1059.5760583399278,1099.1117071774415,1058.827276650308,1095.0682373046875,16609115.0,0.024375452120993346,26.05761718749991
2024-02-15,AXISBANK.NS,Banking,1095.7172029662108,1095.767170494197,1067.5130927304062,1070.458251953125,11780823.0,-0.02247347198393368,-24.609985351562532
2024-02-16,AXISBANK.NS,Banking,1071.2570122898392,1074.2521390716374,1056.281378380848,1067.013916015625,8660907.0,-0.0032176275265435317,-3.444335937500046
2024-02-19,AXISBANK.NS,Banking,1067.2636103322973,1068.2619860201664,1058.378042335854,1061.223388671875,7562645.0,-0.005426852693142581,-5.790527343750006
2024-02-20,AXISBANK.NS,Banking,1057.2797713474754,1088.7286030731084,1055.9818343052273,1086.8316650390625,8722800.0,0.024130900845708236,25.608276367187507
2024-02-21,AXISBANK.NS,Banking,1092.073192275301,1092.1730054669829,1071.3568973121146,1082.4388427734375,9177213.0,-0.0040418607655005045,-4.392822265624973
2024-02-22,AXISBANK.NS,Banking,1088.5289376206945,1108.8957018427773,1079.743183816331,1099.1116943359375,14633340.0,0.015403042558765456,16.67285156250009
